date,card1,card2,card3
2019-02-17,IX OF PENTACLES,HANGED MAN,IV OF SWORDS
2019-02-18,X OF CUPS,ACE OF SWORDS,VI OF CUPS
2019-02-19,ACE OF SWORDS,ACE OF CUPS,IX OF CUPS
2019-02-20,VII OF SWORDS,PAGE OF PENTACLES,III OF SWORDS
2019-02-21,IV OF SWORDS,V OF SWORDS,VII OF PENTACLES
2019-02-22,IV OF SWORDS,IV OF WANDS,DEATH
2019-02-23,THE HERMIT (REVERSED), II OF PENTACLES (REVERSED),V OF PENTACLES (REVERSED)
2019-02-24,IX OF CUPS,II OF PENTACLES,KING OF SWORDS
2019-02-25,ACE OF CUPS,HIEROPHANT,QUEEN OF WANDS
2019-02-26,QUEEN OF PENTACLES,THE MOON,JUDGEMENT
2019-02-27,QUEEN OF PENTACLES,VII OF PENTACLES,X OF PENTACLES
2019-02-28,VIII OF PENTACLES,II OF WANDS,PAGE OF WANDS
2019-03-01,THE WORLD (REVERSED),X OF CUPS,IV OF SWORDS
2019-03-02,VII OF SWORDS,VIII OF PENTACLES,QUEEN OF PENTACLES
2019-03-03,III OF WANDS,JUSTICE,X OF PENTACLES
2019-03-04,VI OF PENTACLES,KNIGHT OF CUPS,VI OF WANDS
2019-03-05,THE MAGICIAN,VI OF SWORDS,VI OF CUPS
2019-03-06,V OF SWORDS,II OF SWORDS,THE STAR
2019-03-07,THE STAR,THE MOON,THE MAGICIAN
