Date,Gallons,Price / Gallon,Total Cost,Miles,Gas Station,Location,Notes
8/9/2008 2:43,12.112,$3.979,$48.19,223.3,7-Eleven,"8700 S Archer, Willow Springs, IL",
9/10/2008 8:02,12.414,$3.959,$49.15,,Mobil,"1960 Mt Prospect Rd, Des Plaines, IL",
12/24/2008 12:25,14.586,$1.799,$26.24,,Mobil,"2380 S River Rd, Des Plaines, IL",
1/6/2009 18:19,13.624,$2.059,$28.05,281.7,Shell,"1200 W Touhy Ave, Park Ridge, IL",
2/18/2009 7:12,13.182,$1.859,$24.51,,Speedway,"6241 S Cass Ave, Westmont, IL",
3/27/2009 18:41,9.126,$2.199,$20.07,,Shell,"2301 W Touhy Ave, Park Ridge, IL",
4/26/2009 9:43,8.973,$2.299,$20.63,,Shell,"900 W Talcott Rd, Park Ridge, IL",
5/15/2009 17:08,7.800,$2.659,$20.74,163.2,Citgo,"2301 W Touhy Ave, Park Ridge, IL",
5/17/2009 22:20,9.805,$2.299,$22.54,,Freedom,"1202 N Mattis Ave, Champaign, IL",
5/27/2009 7:15,12.998,$2.739,$35.60,299.7,Shell,"2301 W Touhy Ave, Park Ridge, IL",
6/6/2009 13:31,9.194,$2.919,$26.84,165.3,Mobil,"5802 W Tri-State Tollway, Hinsdale, IL",
6/14/2009 17:24,9.537,$2.939,$28.03,200.1,Mobil,"5802 W Tri-State Tollway, Hinsdale, IL",
6/19/2009,11.810,$2.879,$34.00,246.8,Clark,"11S370 Kingery Hwy, Willowbrook, IL",Visiting Argonne National Lab
6/27/2009 22:59,13.266,$2.879,$38.19,216.1,Mobil,"9701 N Milwaukee Avenue Des Plaines, IL",
7/1/2009 13:18,11.997,$2.849,$34.18,264.8,Shell,"2301 W Touhy Ave, Park Ridge, IL",
7/7/2009 14:46,12.567,$2.759,$34.67,281.2,Mobil,"1000 Sheridan Rd, Highwood, IL",
7/14/2009 18:03,12.701,$2.679,$34.03,240.7,Mobil,"1000 Sheridan Rd, Highwood, IL",
7/23/2009 9:01,13.332,$2.599,$34.65,281.2,Marathon,"969 N Northwest Hwy, Park Ridge, IL",
7/29/2009 14:42,13.320,$2.649,$35.28,273.6,Citgo,"8120 Oakton St, Niles, IL",
8/6/2009 10:07,12.829,$2.699,$34.63,266.6,Thorntons,"1118 W Touhy Ave, Park Ridge, IL",
8/16/2009 12:17,13.338,$2.759,$36.80,230.4,Citgo,"8120 Oakton St, Niles, IL",
8/20/2009 22:11,12.503,$2.549,$31.87,252.3,Super Pantry,"810 W Green St, Urbana, IL",
8/21/2009 9:04,6.676,$2.769,$18.49,159.0,Shell,"2301 W Touhy Ave, Park Ridge, IL",
9/6/2009 16:06,11.197,$2.559,$28.65,232.8,Circle K,"609 E University Ave, Champaign, IL",
9/7/2009 10:10,7.983,$2.719,$21.71,175.1,Mobil,"5802 W Tri-State Tollway, Hinsdale, IL",
9/15/2009 20:26,10.419,$2.489,$25.93,235.9,Speedway,"604 Armour Rd, Bourbonnais, IL",
9/17/2009 22:32,12.451,$2.679,$33.36,517.3,Mobil,"5802 W Tri-State Tollway, Hinsdale, IL",
9/22/2009 16:51,8.901,$2.449,$21.80,183.8,Circle K,"609 E University Ave, Champaign, IL",
9/29/2009 17:01,9.743,$2.339,$22.79,109.7,Circle K,"609 E University Ave, Champaign, IL",
10/4/2009 13:38,10.614,$2.279,$24.19,219.7,Circle K,"609 E University Ave, Champaign, IL",
10/20/2009 17:09,11.973,$2.659,$31.84,242.7,Circle K,"609 E University Ave, Champaign, IL",
10/24/2009 14:54,9.003,$2.689,$24.21,196.6,Super Pantry,"1511 N Prospect Ave, Champaign, IL",
11/2/2009 22:46,9.752,$2.629,$25.64,187.6,Circle K,"609 E University Ave, Champaign, IL",
11/7/2009 14:39,9.430,$2.559,$24.13,185.4,Circle K,"609 E University Ave, Champaign, IL",
11/8/2009 12:59,7.468,$2.559,$19.11,169.0,Circle K,"809 W Green St, Urbana, IL",
11/21/2009 15:40,10.521,$2.689,$28.29,205.7,Circle K,"609 E University Ave, Champaign, IL",
11/25/2009 20:00,11.990,$2.799,$33.56,249.4,Marathon,"969 N Northwest Hwy, Park Ridge, IL",
12/1/2009 17:05,11.048,$2.569,$28.38,258.8,Circle K,"609 E University Ave, Champaign, IL",
12/3/2009 18:21,11.820,$2.749,$32.49,259.6,Shell,"1711 IL-50, Bourbonnais, IL",
12/6/2009 11:37,12.897,$2.519,$32.49,265.1,Circle K,"609 E University Ave, Champaign, IL","26?.1 miles, hard to read singles digit.
Also date was 12/??/09, credit card is guessing at the 7th."
1/15/2010 13:11,12.400,$2.749,$34.09,230.1,Citgo,"1733 E Oakton Ave, Des Plaines, IL",
1/25/2010 21:30,9.123,$2.639,$24.08,188.5,Circle K,"809 W Green St, Urbana, IL",
2/2/2010 17:27,11.134,$2.549,$28.38,205.8,Circle K,"609 E University Ave, Champaign, IL",
2/14/2010 15:17,13.215,$2.519,$33.29,293.7,Circle K,"609 E University Ave, Champaign, IL",
3/25/2010 14:01,13.641,$2.789,$38.04,232.6,Thorntons,"101 Burwash Ave, Savoy, IL",
4/4/2010 16:44,10.373,$2.949,$30.59,253.6,Speedway,"604 Armour Rd, Bourbonnais, IL",
4/23/2010 15:40,11.609,$2.869,$33.31,226.1,Speedway,"604 Armour Rd, Bourbonnais, IL",
5/7/2010 12:13,12.034,$2.989,$35.97,277.7,Circle K,"609 E University Ave, Champaign, IL",
5/8/2010 7:30,8.190,$3.189,$26.12,182.9,Mobil,"5802 W Tri-State Tollway, Hinsdale, IL",
5/22/2010 9:26,8.583,$2.689,$23.08,189.4,Circle K,"609 E University Ave, Champaign, IL",
5/26/2010 22:11,10.241,$2.999,$30.71,,Mobil,"1602 S River Rd, Des Plaines, IL",
6/5/2010 17:42,13.484,$2.849,$38.42,535.3,Shell,"2301 W Touhy Ave, Park Ridge, IL",
6/20/2010 0:11,13.202,$2.729,$36.03,274.4,Super Pantry,"810 W Green St, Urbana, IL",
6/25/2010 16:40,11.713,$2.739,$32.08,262.3,Circle K,"609 E University Ave, Champaign, IL",
6/27/2010 10:08,6.671,$2.959,$19.74,181.1,Mobil,"5802 W Tri-State Tollway, Hinsdale, IL",
6/28/2010 21:42,10.522,$2.489,$26.19,229.7,Speedway,"604 Armour Rd, Bourbonnais, IL",
7/4/2010 16:05,11.944,$2.629,$31.40,279.9,Circle K,"609 E University Ave, Champaign, IL",
7/5/2010 19:18,9.814,$2.649,$26.00,,Speedway,"604 Armour Rd, Bourbonnais, IL",
8/12/2010 7:58,9.243,$2.959,$27.35,213.2,Shell,"2301 W Touhy Ave, Park Ridge, IL",
8/12/2010 12:37,7.577,$2.669,$20.22,163.9,Freedom,"1406 N Prospect, Champaign, IL",
8/13/2010 13:48,6.658,$2.929,$19.50,158.8,Citgo,"2301 W Touhy Ave, Park Ridge, IL",
8/20/2010 10:46,13.149,$2.719,$35.73,303.5,Speedway,"604 Armour Rd, Bourbonnais, IL",
8/27/2010 14:55,8.598,$2.579,$22.17,146.2,Freedom,"1406 N Prospect, Champaign, IL",
8/29/2010 11:50,12.624,$2.499,$31.55,310.9,Circle K,"609 E University Ave, Champaign, IL",
9/17/2010 15:29,10.855,$3.089,$33.53,222.5,Citgo,"2301 W Touhy Ave, Park Ridge, IL",
